car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,torque,seats,selling_price
Maruti Vitara,Maruti,Vitara,2,30000,Individual,Diesel,Manual,24.3,1248.0,88.5,91.0,5.0,850000
Tata Nexon,Tata,Nexon,3,4200,Individual,Petrol,Manual,17.0,1198.0,108.5,190.0,5.0,755000
Hyundai Verna,Hyundai,Verna,12,55000,Dealer,Petrol,Manual,19.62,1599.0,103.2,113.0,5.0,250000
Volkswagen Polo,Volkswagen,Polo,8,35000,Individual,Petrol,Manual,19.62,1248.0,73.9,113.0,5.0,335000
Maruti Celerio,Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998.0,67.04,12.7,5.0,475000
Hyundai i20,Hyundai,i20,7,120000,Individual,Diesel,Manual,22.54,1396.0,88.73,170.0,5.0,550000
Hyundai i20,Hyundai,i20,6,47000,Dealer,Diesel,Manual,21.19,1396.0,88.73,24.0,5.0,675000
Maruti Wagon R,Maruti,Wagon R,5,56302,Dealer,Cng,Manual,26.6,998.0,58.16,190.0,5.0,280000
Hyundai Venue,Hyundai,Venue,1,1200,Dealer,Petrol,Manual,18.27,998.0,118.35,200.0,5.0,1075000
Renault KWID,Renault,KWID,4,50000,Individual,Petrol,Manual,25.17,799.0,88.5,200.0,5.0,280000
Tata Tiago,Tata,Tiago,3,25000,Individual,Petrol,Manual,23.84,1199.0,84.0,200.0,5.0,400000
Maruti Ciaz,Maruti,Ciaz,4,32000,Dealer,Petrol,Manual,20.73,1373.0,91.1,91.0,5.0,795000
Ford Figo,Ford,Figo,9,151000,Individual,Diesel,Manual,20.0,1399.0,68.0,200.0,5.0,251000
Maruti Ignis,Maruti,Ignis,4,32334,Dealer,Petrol,Automatic,20.89,1197.0,81.8,190.0,5.0,550000
Maruti Ertiga,Maruti,Ertiga,7,51000,Dealer,Petrol,Manual,16.02,1373.0,93.7,113.0,7.0,625000
Renault Duster,Renault,Duster,8,58327,Dealer,Diesel,Manual,19.01,1461.0,108.45,91.0,5.0,415000
Maruti Alto,Maruti,Alto,15,110000,Individual,Petrol,Manual,19.7,796.0,46.3,113.0,5.0,148000
Honda Amaze,Honda,Amaze,6,15000,Individual,Diesel,Manual,25.8,1498.0,98.6,113.0,5.0,525000
Maruti Wagon R,Maruti,Wagon R,11,102000,Dealer,Petrol,Manual,20.52,1197.0,81.8,200.0,5.0,200000
Maruti Swift,Maruti,Swift,7,75727,Dealer,Petrol,Manual,21.21,1197.0,81.8,91.0,5.0,425000
BMW X3,BMW,X3,9,200000,Individual,Diesel,Automatic,16.09,1995.0,184.0,200.0,5.0,1500000
Renault KWID,Renault,KWID,5,40000,Individual,Petrol,Manual,25.17,799.0,53.3,170.0,5.0,220000
Hyundai i20,Hyundai,i20,5,68000,Dealer,Diesel,Manual,22.54,1396.0,88.73,24.0,5.0,720000
Skoda Rapid,Skoda,Rapid,3,35000,Dealer,Diesel,Automatic,21.66,1498.0,103.52,91.0,5.0,1090000
Maruti Swift Dzire,Maruti,Swift Dzire,8,40000,Individual,Petrol,Manual,19.1,1197.0,85.8,12.7,5.0,400000
Maruti Alto,Maruti,Alto,4,11000,Dealer,Petrol,Manual,24.7,796.0,47.3,250.0,5.0,285000
Maruti Wagon R,Maruti,Wagon R,6,42100,Dealer,Cng,Manual,26.6,998.0,58.16,190.0,5.0,375000
Maruti Swift,Maruti,Swift,7,96000,Dealer,Diesel,Manual,28.4,1248.0,74.0,113.0,5.0,490000
Volkswagen Polo,Volkswagen,Polo,7,20000,Dealer,Petrol,Manual,16.47,1198.0,73.9,170.0,5.0,650000
Tata Tiago,Tata,Tiago,2,20149,Dealer,Petrol,Manual,23.84,1199.0,84.0,250.0,5.0,470000
Volkswagen Polo,Volkswagen,Polo,10,78800,Dealer,Diesel,Manual,22.07,1199.0,88.5,113.0,5.0,220000
Maruti Swift Dzire,Maruti,Swift Dzire,9,20699,Dealer,Diesel,Manual,23.4,1248.0,74.0,113.0,5.0,475000
Ford Ecosport,Ford,Ecosport,2,15700,Dealer,Petrol,Automatic,14.7,1496.0,120.69,91.0,5.0,1145000
Honda Amaze,Honda,Amaze,3,40000,Individual,Petrol,Manual,17.8,1198.0,86.7,24.0,5.0,610000
Maruti Wagon R,Maruti,Wagon R,3,6000,Dealer,Petrol,Manual,21.79,998.0,88.5,91.0,5.0,400000
Hyundai Creta,Hyundai,Creta,6,81000,Dealer,Diesel,Manual,19.67,1582.0,126.2,250.0,5.0,975000
Maruti Swift,Maruti,Swift,8,100000,Individual,Diesel,Manual,22.9,1248.0,74.0,170.0,5.0,320000
Jaguar XF,Jaguar,XF,6,80000,Dealer,Diesel,Automatic,16.36,2179.0,187.7,190.0,5.0,2850000
