car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,torque,seats,selling_price
Maruti Vitara,Maruti,Vitara,2,30000,individual,diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,91Nm@ 3500rpm,5.0,850000
Tata Nexon,Tata,Nexon,3,4200,Individual,Petrol,Manual,17.0 kmpl,1198 CC,108.5 bhp,190Nm@ 2000rpm,5.0,755000
Hyundai Verna,Hyundai,Verna,12,55000,DEALER,  Petrol ,Manual,,1599 CC,103.2 bhp,113Nm@ 4000rpm,5.0,250000
Volkswagen Polo,Volkswagen,Polo,8,35000,individual,petrol,Manual,,,73.9 bhp,,5.0,335000
Maruti Celerio,Maruti,Celerio,3,5000,individual,PETROL,Automatic,23.1 kmpl,998 CC,67.04 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,475000
Hyundai i20,Hyundai,i20,7,120000,Individual,Diesel,Manual,22.54 kmpl,1396 CC,88.73 bhp,170Nm@ 1800-2400rpm,5.0,550000
Hyundai i20,Hyundai,i20,6,47000,Dealer,Diesel,Manual,21.19 kmpl,1396 CC,88.73 bhp,24@ 1900(kgm@ rpm),5.0,675000
Maruti Wagon R,Maruti,Wagon R,5,56302,  Dealer ,CNG,Manual,26.6 km/kg,998 CC,58.16 bhp,190Nm@ 2000rpm,5.0,280000
Hyundai Venue,Hyundai,Venue,1,1200,DEALER,Petrol,Manual,18.27 kmpl,998 CC,118.35 bhp,200Nm@ 1750rpm,,1075000
Renault KWID,Renault,KWID,4,50000,individual,Petrol,Manual,25.17 kmpl,799 CC,,200Nm@ 1750rpm,5.0,280000
Tata Tiago,Tata,Tiago,3,25000,individual,Petrol,Manual,23.84 kmpl,1199 CC,84.0 bhp,200Nm@ 1750rpm,5.0,400000
Maruti Ciaz,Maruti,Ciaz,4,32000,DEALER,Petrol,Manual,20.73 kmpl,1373 CC,91.1 bhp,91Nm@ 3500rpm,5.0,795000
Ford Figo,Ford,Figo,9,151000,INDIVIDUAL,DIESEL,Manual,20.0 kmpl,1399 CC,68.0 bhp,200Nm@ 1750rpm,5.0,251000
Maruti Ignis,Maruti,Ignis,4,32334,Dealer,Petrol,Automatic,20.89 kmpl,1197 CC,81.8 bhp,190Nm@ 2000rpm,5.0,550000
Maruti Ertiga,Maruti,Ertiga,7,51000,Dealer,Petrol,Manual,16.02 kmpl,1373 CC,93.7 bhp,113Nm@ 4000rpm,7.0,625000
Renault Duster,Renault,Duster,8,58327,Dealer,Diesel,Manual,19.01 kmpl,1461 CC,108.45 bhp,91Nm@ 3500rpm,5.0,415000
Maruti Alto,Maruti,Alto,15,110000,Individual,Petrol,Manual,19.7 kmpl,796 CC,46.3 bhp,113Nm@ 4000rpm,5.0,148000
Honda Amaze,Honda,Amaze,6,15000,INDIVIDUAL,Diesel,Manual,25.8 kmpl,1498 CC,98.6 bhp,,5.0,525000
Maruti Wagon R,Maruti,Wagon R,11,102000,Dealer,petrol,Manual,20.52 kmpl,1197 CC,81.8 bhp,200Nm@ 1750rpm,5.0,200000
Maruti Swift,Maruti,Swift,7,75727,DEALER,Petrol,Manual,21.21 kmpl,1197 CC,81.8 bhp,91Nm@ 3500rpm,,425000
BMW X3,BMW,X3,9,200000,  Individual ,diesel,Automatic,16.09 kmpl,1995 CC,184.0 bhp,200Nm@ 1750rpm,5.0,1500000
Renault KWID,Renault,KWID,5,40000,Individual,  Petrol ,Manual,25.17 kmpl,799 CC,53.3 bhp,170Nm@ 1800-2400rpm,5.0,220000
Hyundai i20,Hyundai,i20,5,68000,DEALER,Diesel,Manual,22.54 kmpl,1396 CC,88.73 bhp,24@ 1900(kgm@ rpm),5.0,720000
Skoda Rapid,Skoda,Rapid,3,35000,DEALER,Diesel,Automatic,21.66 kmpl,1498 CC,103.52 bhp,91Nm@ 3500rpm,5.0,1090000
Maruti Swift Dzire,Maruti,Swift Dzire,8,40000,Individual,Petrol,Manual,19.1 kmpl,1197 CC,85.8 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,400000
Maruti Alto,Maruti,Alto,4,11000,DEALER,Petrol,Manual,24.7 kmpl,796 CC,47.3 bhp,250Nm@ 1500-2500rpm,5.0,285000
Maruti Wagon R,Maruti,Wagon R,6,42100,dealer,  CNG ,Manual,26.6 km/kg,998 CC,58.16 bhp,190Nm@ 2000rpm,5.0,375000
Maruti Swift,Maruti,Swift,7,96000,Dealer,Diesel,Manual,28.4 kmpl,1248 CC,74.0 bhp,,5.0,490000
